2026-01-05 19:03:35 - INFO | Discovered sample: [DICOM] /tmp/tmpxqsj1sxp/home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr/010-greMT_cs6_f4_FA10_1iso_ellip79_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:35 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpxqsj1sxp/home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr
2026-01-05 19:03:35 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr (subject 1/2)
2026-01-05 19:03:35 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr
2026-01-05 19:03:35 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr -> /tmp/tmp59unyp4l/home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr
2026-01-05 19:03:35 - INFO | >> Sorting: /tmp/tmp59unyp4l/home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr (3 files)
2026-01-05 19:03:35 - VERBOSE | [0%]   Creating:  /tmp/tmp59unyp4l/home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr/011-greMT_cs6_f100_FA6_1iso_ellip79_RR
2026-01-05 19:03:35 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmp59unyp4l/home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr
2026-01-05 19:03:36 - INFO | Discovered sample: [DICOM] /tmp/tmp59unyp4l/home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr/011-greMT_cs6_f100_FA6_1iso_ellip79_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:36 - VERBOSE | Executing plugin: events2bids -> /tmp/tmp59unyp4l/home/rflaherty/test_dicoms/20241022/91_0011_gremt-cs6-f100-fa6-1iso-ellip79-rr
2026-01-05 19:03:36 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr (subject 1/2)
2026-01-05 19:03:36 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr
2026-01-05 19:03:36 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr -> /tmp/tmp1r8u6bjj/home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr
2026-01-05 19:03:36 - INFO | >> Sorting: /tmp/tmp1r8u6bjj/home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr (3 files)
2026-01-05 19:03:36 - VERBOSE | [0%]   Creating:  /tmp/tmp1r8u6bjj/home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr/012-greMT_cs6_f100_FA10_1iso_ellip79_RR
2026-01-05 19:03:36 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmp1r8u6bjj/home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr
2026-01-05 19:03:37 - INFO | Discovered sample: [DICOM] /tmp/tmp1r8u6bjj/home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr/012-greMT_cs6_f100_FA10_1iso_ellip79_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:37 - VERBOSE | Executing plugin: events2bids -> /tmp/tmp1r8u6bjj/home/rflaherty/test_dicoms/20241022/91_0012_gremt-cs6-f100-fa10-1iso-ellip79-rr
2026-01-05 19:03:37 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr (subject 1/2)
2026-01-05 19:03:37 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr
2026-01-05 19:03:37 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr -> /tmp/tmpe98kgqlb/home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr
2026-01-05 19:03:37 - INFO | >> Sorting: /tmp/tmpe98kgqlb/home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr (3 files)
2026-01-05 19:03:37 - VERBOSE | [0%]   Creating:  /tmp/tmpe98kgqlb/home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr/013-greMT_cs9_f4_FA10_1iso_ellip76_RR
2026-01-05 19:03:37 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpe98kgqlb/home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr
2026-01-05 19:03:38 - INFO | Discovered sample: [DICOM] /tmp/tmpe98kgqlb/home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr/013-greMT_cs9_f4_FA10_1iso_ellip76_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:38 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpe98kgqlb/home/rflaherty/test_dicoms/20241022/91_0013_gremt-cs9-f4-fa10-1iso-ellip76-rr
2026-01-05 19:03:38 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr (subject 1/2)
2026-01-05 19:03:38 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr
2026-01-05 19:03:38 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr -> /tmp/tmpfveyidrf/home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr
2026-01-05 19:03:38 - INFO | >> Sorting: /tmp/tmpfveyidrf/home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr (3 files)
2026-01-05 19:03:38 - VERBOSE | [0%]   Creating:  /tmp/tmpfveyidrf/home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr/014-greMT_cs9_f100_FA6_1iso_ellip76_RR
2026-01-05 19:03:38 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpfveyidrf/home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr
2026-01-05 19:03:39 - INFO | Discovered sample: [DICOM] /tmp/tmpfveyidrf/home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr/014-greMT_cs9_f100_FA6_1iso_ellip76_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:39 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpfveyidrf/home/rflaherty/test_dicoms/20241022/91_0014_gremt-cs9-f100-fa6-1iso-ellip76-rr
2026-01-05 19:03:39 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr (subject 1/2)
2026-01-05 19:03:39 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr
2026-01-05 19:03:39 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr -> /tmp/tmpgvcrs7in/home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr
2026-01-05 19:03:39 - INFO | >> Sorting: /tmp/tmpgvcrs7in/home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr (3 files)
2026-01-05 19:03:39 - VERBOSE | [0%]   Creating:  /tmp/tmpgvcrs7in/home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr/015-greMT_cs9_f100_FA10_1iso_ellip76_RR
2026-01-05 19:03:39 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpgvcrs7in/home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr
2026-01-05 19:03:40 - INFO | Discovered sample: [DICOM] /tmp/tmpgvcrs7in/home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr/015-greMT_cs9_f100_FA10_1iso_ellip76_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:40 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpgvcrs7in/home/rflaherty/test_dicoms/20241022/91_0015_gremt-cs9-f100-fa10-1iso-ellip76-rr
2026-01-05 19:03:40 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0016_gremt-cs9-f100-fa25-1iso-ellip76-rr (subject 1/2)
